t,l,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3042974937,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3045487437,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3047987062,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3050493562,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3052999187,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3055505687,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3058011312,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3060517812,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3063023437,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3065526312,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3068038812,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3070537000,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3073041562,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3075546562,31,00ee00,0ddc00,19ca00,26b800,31a700,3da000,49a000,56a000,62a000,6ea000,797e00,865b00,923700,9f1400,a00006,940016,880027,7b0038,6f0049,590067,420087,2a00a8,1100ca,0004dd,0016cc,0028bb,0039ab,004b9a,005c8b,006e7a,008069
3078053062,31,00ee00,0ddc00,19ca00,26b800,31a700,3da000,49a000,56a000,62a000,6ea000,797e00,865b00,923700,9f1400,a00006,940016,880027,7b0038,6f0049,590067,420087,2a00a8,1100ca,0004dd,0016cc,0028bb,0039ab,004b9a,005c8b,006e7a,008069
3080558687,31,00ee00,0ddc00,19ca00,26b800,31a700,3da000,49a000,56a000,62a000,6ea000,797e00,865b00,923700,9f1400,a00006,940016,880027,7b0038,6f0049,590067,420087,2a00a8,1100ca,0004dd,0016cc,0028bb,0039ab,004b9a,005c8b,006e7a,008069
3083065187,31,00ee00,0ddc00,19ca00,26b800,31a700,3da000,49a000,56a000,62a000,6ea000,797e00,865b00,923700,9f1400,a00006,940016,880027,7b0038,6f0049,590067,420087,2a00a8,1100ca,0004dd,0016cc,0028bb,0039ab,004b9a,005c8b,006e7a,008069
3085570812,31,00ee00,0ddc00,19ca00,26b800,31a700,3da000,49a000,56a000,62a000,6ea000,797e00,865b00,923700,9f1400,a00006,940016,880027,7b0038,6f0049,590067,420087,2a00a8,1100ca,0004dd,0016cc,0028bb,0039ab,004b9a,005c8b,006e7a,008069
3088077312,31,00ee00,0ddc00,19ca00,26b800,31a700,3da000,49a000,56a000,62a000,6ea000,797e00,865b00,923700,9f1400,a00006,940016,880027,7b0038,6f0049,590067,420087,2a00a8,1100ca,0004dd,0016cc,0028bb,0039ab,004b9a,005c8b,006e7a,008069
3090588375,31,00ee00,0ddc00,19ca00,26b800,31a700,3da000,49a000,56a000,62a000,6ea000,797e00,865b00,923700,9f1400,a00006,940016,880027,7b0038,6f0049,590067,420087,2a00a8,1100ca,0004dd,0016cc,0028bb,0039ab,004b9a,005c8b,006e7a,008069
3093086875,31,00ee00,0ddc00,19ca00,26b800,31a700,3da000,49a000,56a000,62a000,6ea000,797e00,865b00,923700,9f1400,a00006,940016,880027,7b0038,6f0049,590067,420087,2a00a8,1100ca,0004dd,0016cc,0028bb,0039ab,004b9a,005c8b,006e7a,008069
3095593375,31,00ee00,0ddc00,19ca00,26b800,31a700,3da000,49a000,56a000,62a000,6ea000,797e00,865b00,923700,9f1400,a00006,940016,880027,7b0038,6f0049,590067,420087,2a00a8,1100ca,0004dd,0016cc,0028bb,0039ab,004b9a,005c8b,006e7a,008069
3098099000,31,00ee00,0ddc00,19ca00,26b800,31a700,3da000,49a000,56a000,62a000,6ea000,797e00,865b00,923700,9f1400,a00006,940016,880027,7b0038,6f0049,590067,420087,2a00a8,1100ca,0004dd,0016cc,0028bb,0039ab,004b9a,005c8b,006e7a,008069
3100605500,31,00ee00,0ddc00,19ca00,26b800,31a700,3da000,49a000,56a000,62a000,6ea000,797e00,865b00,923700,9f1400,a00006,940016,880027,7b0038,6f0049,590067,420087,2a00a8,1100ca,0004dd,0016cc,0028bb,0039ab,004b9a,005c8b,006e7a,008069
3103111437,31,00ee00,0ddc00,19ca00,26b800,31a700,3da000,49a000,56a000,62a000,6ea000,797e00,865b00,923700,9f1400,a00006,940016,880027,7b0038,6f0049,590067,420087,2a00a8,1100ca,0004dd,0016cc,0028bb,0039ab,004b9a,005c8b,006e7a,008069
3105617937,31,00ee00,0ddc00,19ca00,26b800,31a700,3da000,49a000,56a000,62a000,6ea000,797e00,865b00,923700,9f1400,a00006,940016,880027,7b0038,6f0049,590067,420087,2a00a8,1100ca,0004dd,0016cc,0028bb,0039ab,004b9a,005c8b,006e7a,008069
3108123562,31,00ee00,0ddc00,19ca00,26b800,31a700,3da000,49a000,56a000,62a000,6ea000,797e00,865b00,923700,9f1400,a00006,940016,880027,7b0038,6f0049,590067,420087,2a00a8,1100ca,0004dd,0016cc,0028bb,0039ab,004b9a,005c8b,006e7a,008069
3110628562,31,00ee00,0ddc00,19ca00,26b800,31a700,3da000,49a000,56a000,62a000,6ea000,797e00,865b00,923700,9f1400,a00006,940016,880027,7b0038,6f0049,590067,420087,2a00a8,1100ca,0004dd,0016cc,0028bb,0039ab,004b9a,005c8b,006e7a,008069
3113133875,31,02eb00,0fd900,1bc700,27b600,33a400,3fa000,4ca000,58a000,63a000,6f9c00,7b7900,885500,943200,a01000,9f0008,920019,86002a,79003b,6e004b,57006b,3e008c,2600ae,0d00cf,0007da,0018ca,002ab9,003ca8,004e97,005f88,007078,008168
3115639000,31,02eb00,0fd900,1bc700,27b600,33a400,3fa000,4ca000,58a000,63a000,6f9c00,7b7900,885500,943200,a01000,9f0008,920019,86002a,79003b,6e004b,57006b,3e008c,2600ae,0d00cf,0007da,0018ca,002ab9,003ca8,004e97,005f88,007078,008168
3118145500,31,02eb00,0fd900,1bc700,27b600,33a400,3fa000,4ca000,58a000,63a000,6f9c00,7b7900,885500,943200,a01000,9f0008,920019,86002a,79003b,6e004b,57006b,3e008c,2600ae,0d00cf,0007da,0018ca,002ab9,003ca8,004e97,005f88,007078,008168
3120651125,31,02eb00,0fd900,1bc700,27b600,33a400,3fa000,4ca000,58a000,63a000,6f9c00,7b7900,885500,943200,a01000,9f0008,920019,86002a,79003b,6e004b,57006b,3e008c,2600ae,0d00cf,0007da,0018ca,002ab9,003ca8,004e97,005f88,007078,008168
3123157625,31,02eb00,0fd900,1bc700,27b600,33a400,3fa000,4ca000,58a000,63a000,6f9c00,7b7900,885500,943200,a01000,9f0008,920019,86002a,79003b,6e004b,57006b,3e008c,2600ae,0d00cf,0007da,0018ca,002ab9,003ca8,004e97,005f88,007078,008168
3125663250,31,02eb00,0fd900,1bc700,27b600,33a400,3fa000,4ca000,58a000,63a000,6f9c00,7b7900,885500,943200,a01000,9f0008,920019,86002a,79003b,6e004b,57006b,3e008c,2600ae,0d00cf,0007da,0018ca,002ab9,003ca8,004e97,005f88,007078,008168
3128169750,31,02eb00,0fd900,1bc700,27b600,33a400,3fa000,4ca000,58a000,63a000,6f9c00,7b7900,885500,943200,a01000,9f0008,920019,86002a,79003b,6e004b,57006b,3e008c,2600ae,0d00cf,0007da,0018ca,002ab9,003ca8,004e97,005f88,007078,008168
3130726062,31,02eb00,0fd900,1bc700,27b600,33a400,3fa000,4ca000,58a000,63a000,6f9c00,7b7900,885500,943200,a01000,9f0008,920019,86002a,79003b,6e004b,57006b,3e008c,2600ae,0d00cf,0007da,0018ca,002ab9,003ca8,004e97,005f88,007078,008168
3133227750,31,03eb00,0fda00,1cc700,27b700,34a400,3fa100,4ca000,58a100,64a000,6f9d00,7c7900,885600,953200,a01100,9f0008,92001a,86002a,79003c,6f004b,57006c,3f008c,2600af,0e00cf,0008db,0018ca,002bba,003ca8,004f98,005f88,007179,008168
3135735500,31,03eb00,0fda00,1cc700,27b700,34a400,3fa100,4ca000,58a100,64a000,6f9d00,7c7900,885600,953200,a01100,9f0008,92001a,86002a,79003c,6f004b,57006c,3f008c,2600af,0e00cf,0008db,0018ca,002bba,003ca8,004f98,005f88,007179,008168
3138244062,31,02ec00,0fd900,1bc800,28b600,33a500,40a000,4ca100,59a000,63a100,709c00,7b7a00,885500,943300,a11000,9f0009,930019,86002b,7a003b,6e004c,57006b,3e008d,2600ae,0d00d0,0007da,0019cb,002ab9,003da9,004e97,006089,007078,008269
3140757250,31,03eb00,0fda00,1cc700,27b700,34a400,3fa100,4ca000,58a100,64a000,6f9d00,7c7900,885600,953200,a01100,9f0008,92001a,86002a,79003c,6f004b,57006c,3f008c,2600af,0e00cf,0008db,0018ca,002bba,003ca8,004f98,005f88,007179,008168
3143257500,31,02ec00,0fd900,1bc800,28b600,33a500,40a000,4ca100,59a000,63a100,709c00,7b7a00,885500,943300,a11000,9f0009,930019,86002b,7a003b,6e004c,57006b,3e008d,2600ae,0d00d0,0007da,0019cb,002ab9,003da9,004e97,006089,007078,008269
3145764812,31,03eb00,0fda00,1cc700,27b700,34a400,3fa100,4ca000,58a100,64a000,6f9d00,7c7900,885600,953200,a01100,9f0008,92001a,86002a,79003c,6f004b,57006c,3f008c,2600af,0e00cf,0008db,0018ca,002bba,003ca8,004f98,005f88,007179,008168
3148272187,31,04e900,11d700,1dc600,2ab300,35a200,42a000,4da100,59a000,65a100,729700,7d7400,8a5000,962f00,a30a00,9c000c,91001c,84002e,79003c,6b0050,540070,3a0092,2300b2,0b00d3,0009d8,001cc8,002db6,0040a6,005096,006188,007276,008566
3150779687,31,05e800,10d800,1dc500,29b400,36a100,41a100,4ea000,59a100,66a000,719800,7e7300,8a5100,962e00,a20b00,9d000b,90001d,85002d,78003d,6c004f,530070,3b0091,2200b3,0b00d2,000ad9,001bc7,002eb7,003fa5,005197,006087,007377,008465
3153287375,31,05e800,10d800,1dc500,29b400,36a100,41a100,4ea000,59a100,66a000,719800,7e7300,8a5100,962e00,a20b00,9d000b,90001d,85002d,78003d,6c004f,530070,3b0091,2200b3,0b00d2,000ad9,001bc7,002eb7,003fa5,005197,006087,007377,008465
3155796000,31,05e800,10d800,1dc500,29b400,36a100,41a100,4ea000,59a100,66a000,719800,7e7300,8a5100,962e00,a20b00,9d000b,90001d,85002d,78003d,6c004f,530070,3b0091,2200b3,0b00d2,000ad9,001bc7,002eb7,003fa5,005197,006087,007377,008465
3158303750,31,04e900,11d700,1dc600,2ab300,35a200,42a000,4da100,59a000,65a100,729700,7d7400,8a5000,962f00,a30a00,9c000c,91001c,84002e,79003c,6b0050,540070,3a0092,2300b2,0b00d3,0009d8,001cc8,002db6,0040a6,005096,006188,007276,008566
3160810937,31,05e800,10d800,1dc500,29b400,36a100,41a100,4ea000,59a100,66a000,719800,7e7300,8a5100,962e00,a20b00,9d000b,90001d,85002d,78003d,6c004f,530070,3b0091,2200b3,0b00d2,000ad9,001bc7,002eb7,003fa5,005197,006087,007377,008465
3163320062,31,04e900,11d700,1dc600,2ab300,35a200,42a000,4da100,59a000,65a100,729700,7d7400,8a5000,962f00,a30a00,9c000c,91001c,84002e,79003c,6b0050,540070,3a0092,2300b2,0b00d3,0009d8,001cc8,002db6,0040a6,005096,006188,007276,008566
3165816375,31,05e800,10d800,1dc500,29b400,36a100,41a100,4ea000,59a100,66a000,719800,7e7300,8a5100,962e00,a20b00,9d000b,90001d,85002d,78003d,6c004f,530070,3b0091,2200b3,0b00d2,000ad9,001bc7,002eb7,003fa5,005197,006087,007377,008465
3168323812,31,04e900,11d700,1dc600,2ab300,35a200,42a000,4da100,59a000,65a100,729700,7d7400,8a5000,962f00,a30a00,9c000c,91001c,84002e,79003c,6b0050,540070,3a0092,2300b2,0b00d3,0009d8,001cc8,002db6,0040a6,005096,006188,007276,008566
3170831562,31,05e800,10d800,1dc500,29b400,36a100,41a100,4ea000,59a100,66a000,719800,7e7300,8a5100,962e00,a20b00,9d000b,90001d,85002d,78003d,6c004f,530070,3b0091,2200b3,0b00d2,000ad9,001bc7,002eb7,003fa5,005197,006087,007377,008465
3173338687,31,05e800,10d800,1dc500,29b400,36a100,41a100,4ea000,59a100,66a000,719800,7e7300,8a5100,962e00,a20b00,9d000b,90001d,85002d,78003d,6c004f,530070,3b0091,2200b3,0b00d2,000ad9,001bc7,002eb7,003fa5,005197,006087,007377,008465
